Name                    |MPF            |     plx|  e_plx|  Teff|e_Teff| logg|e_logg|   plxsp| e_plxsp|Comment
SDSS J123425.39+604503.5|52401-0956-406 |12.59854|0.10623|  7044|   69|7.889|0.121|12.08822| 1.02949|
SDSS J123448.90+054718.2|52381-0845-618 |19.84077|0.11705|  7643|   44|8.394|0.064|19.22436| 1.05895|
SDSS J123512.35+231829.7|54495-2647-539 |14.59339|0.15023|  7704|   31|7.965|0.048|14.61699| 0.52821|
SDSS J123515.70+550318.0|52721-1020-517 |10.09763|0.06476|  8875|   32|8.090|0.039|14.21407| 0.45072|
SDSS J123531.70+643734.7|52317-0600-067 | 2.28767|0.17732| 26962|  368|7.905|0.057| 2.23672| 0.11824|
SDSS J123541.62+520611.9|52379-0885-231 | 8.22775|0.07281| 12629|  156|8.059|0.038| 8.72465| 0.27772|
SDSS J123549.89+154319.3|53442-1768-603 | 2.33188|0.16605| 22096|  288|7.157|0.041| 2.32621| 0.10254|
SDSS J123555.29+215833.0|54495-2647-144 | 5.10541|0.24130|  9650|   68|7.984|0.075| 6.08923| 0.35408|
SDSS J123611.36+333049.2|53472-1971-567 | 9.86947|0.06998| 21339|  125|7.916|0.018| 9.40408| 0.16143|
SDSS J123616.75+000352.5|54562-2920-483 | 1.74609|0.22246| 27972|  225|7.852|0.037| 1.97861| 0.06791|
SDSS J123643.46+335213.3|53431-2020-239 | 3.98321|0.29417| 14177|  389|7.806|0.062| 3.45063| 0.21251|
SDSS J123706.24-001604.0|54562-2920-110 | 5.66364|0.36248| 17913|  601|9.017|0.071| 5.27323| 0.47472|
SDSS J123723.82+051009.0|52381-0845-639 | 2.79907|0.17973| 26512|  394|7.843|0.059| 2.43681| 0.13442|
SDSS J123731.44+344822.5|53431-2020-380 |12.60408|0.10447|  9101|   37|8.223|0.041|11.86810| 0.41488|
SDSS J123747.53+290822.2|53828-2237-251 | 4.92418|0.16050| 19687|  184|7.840|0.029| 4.80028| 0.13323|
SDSS J123827.81+312139.1|53734-1975-293 | 1.21629|0.17064| 62203| 3322|7.514|0.180| 1.00853| 0.17583|
SDSS J123837.12+001843.1|54562-2920-548 | 1.98048|0.35094| 22913|  317|7.889|0.043| 1.86242| 0.07729|
SDSS J123846.73+170620.8|54243-2600-227 | 2.69221|0.15562| 31756|  217|7.661|0.048| 2.27546| 0.09629|
SDSS J123847.85+512207.5|52379-0885-211 |15.53459|0.09422|  7479|   47|8.039|0.074|16.05318| 0.90057|
SDSS J123857.92+125624.2|53169-1616-589 | 2.64980|0.25864| 26847|  379|7.853|0.058| 2.35869| 0.12737|
SDSS J123914.50+452512.4|53062-1372-506 |37.20810|0.06557|  6466|   48|8.339|0.093|37.21931| 2.83466|
SDSS J123914.92+190952.3|54481-2613-146 | 2.38574|0.21803| 28387|  357|7.811|0.061| 1.98005| 0.11044|
SDSS J124009.55-031014.2|54585-2897-264 |23.49997|0.06678|  9923|   51|8.490|0.045|25.59965| 1.10660|
SDSS J124020.56+383330.8|53495-2000-477 | 4.52774|0.26627| 11349|  196|8.087|0.071| 4.87631| 0.31483|
SDSS J124026.53+372346.5|53495-2000-204 | 5.56403|0.11517| 18025|  177|7.941|0.032| 5.20722| 0.15194|
SDSS J124109.50+540754.1|52673-1038-273 |10.07113|0.08502|  9789|   57|8.188|0.057|11.12357| 0.53573|
SDSS J124140.02-073305.7|54149-2689-396 |12.08074|0.15255|  9938|   26|8.001|0.026|12.11990| 0.25674|
SDSS J124145.51+470621.5|53089-1455-190 |10.90320|0.07989|  9417|   40|7.919|0.047|10.55255| 0.38468|
SDSS J124242.48+212244.9|54485-2648-206 | 9.32757|0.19081|  8065|   60|7.881|0.090| 9.00623| 0.58771|
SDSS J124253.02-021121.6|54612-2922-465 |14.93239|0.25167|  6137|   70|8.108|0.154|15.36014| 1.70913|
SDSS J124253.39+162200.2|54243-2600-087 | 2.06881|0.22631| 36053|  470|7.705|0.074| 1.70104| 0.11018|
SDSS J124258.45+292405.6|54175-2472-222 | 1.17898|0.21356| 50634| 1613|7.555|0.121| 1.02722| 0.11755|
SDSS J124329.14+674230.3|51915-0494-632 | 2.25131|0.23646| 23968|  435|7.829|0.060| 1.87250| 0.10784|
SDSS J124337.74+302921.4|54175-2472-362 | 3.06688|0.14888| 25370|  191|7.907|0.027| 3.02394| 0.07809|
SDSS J124341.27+624836.3|52320-0782-360 | 5.50234|0.11830| 11965|  182|8.136|0.055| 6.10173| 0.29695|
SDSS J124341.72+480534.6|53089-1455-451 |12.52898|0.07996| 15017|  328|8.538|0.026|10.94471| 0.40549|
SDSS J124357.05+290904.3|54175-2472-211 | 3.64015|0.25377| 13484|  320|8.221|0.061| 3.87634| 0.21977|
SDSS J124407.67+582351.9|52765-1317-405 | 3.70062|0.09827| 31872|  173|7.961|0.039| 3.40418| 0.11373|
SDSS J124416.58+231410.4|54485-2648-419 | 8.08373|0.07192| 28212|   75|7.881|0.013| 7.46665| 0.08987|
SDSS J124420.58+070057.4|53876-1790-227 | 1.54414|0.17897| 47555| 1568|7.479|0.130| 1.20901| 0.14875|
SDSS J124435.66-075304.7|54144-2707-157 | 3.44447|0.19409| 21604|  207|8.044|0.029| 3.37994| 0.09485|
SDSS J124438.81-022107.6|54612-2922-500 | 5.46044|0.20914| 10956|   66|7.980|0.033| 4.97822| 0.14284|
SDSS J124450.20+294210.2|53828-2237-070 | 5.23036|0.19373| 13711|  417|7.992|0.048| 5.35133| 0.29074|
SDSS J124516.30+021314.6|52024-0522-234 | 4.71355|0.16788| 13258|  320|7.933|0.064| 4.63403| 0.26557|
SDSS J124553.60+222032.8|54485-2648-156 | 1.93286|0.19995| 35855|  400|7.864|0.065| 1.90096| 0.10608|
SDSS J124604.75+295439.1|53828-2237-598 | 4.92773|0.18966| 11458|  123|7.928|0.048| 5.10160| 0.20633|
SDSS J124740.10+303007.0|53726-2239-425 |12.17766|0.14270|  7316|   56|8.032|0.091|12.01967| 0.82063|
SDSS J124740.93+103556.1|54594-2965-323 | 2.73429|0.33733| 18662|  190|7.896|0.033| 2.63691| 0.08028|
SDSS J124741.85-081042.0|54144-2707-028 | 1.49040|0.33050| 39928|  897|7.697|0.099| 1.01689| 0.09016|
