Name                    |MPF            |     plx|  e_plx|  Teff|e_Teff| logg|e_logg|   plxsp| e_plxsp|Comment
SDSS J121730.65+572732.0|56429-6838-0958| 3.10567|0.17436| 15728|  220|7.978|0.040| 3.45424| 0.13005|
SDSS J121731.31+610520.3|56426-6972-0126| 1.22518|0.15262| 39606|  584|7.730|0.066| 1.34353| 0.08183|
SDSS J121754.89+053829.4|55680-4832-0268| 5.32023|0.17091| 18238|  124|8.200|0.021| 5.37499| 0.11035|
SDSS J121842.21+235449.3|56329-5979-0526| 1.67396|0.38145| 17260|  256|7.889|0.048| 2.17219| 0.09273|
SDSS J121845.68+264831.5|56356-5976-0472| 5.13849|0.25734| 25949|  176|7.858|0.026| 4.78141| 0.11795|
SDSS J121846.27+301437.2|56365-6477-0362| 5.09739|0.13517| 16617|  163|8.061|0.030| 4.90933| 0.13935|
SDSS J121851.56+170319.1|56033-5849-0216| 2.78582|0.27712| 18312|  276|7.715|0.048| 2.42593| 0.10771|
SDSS J121856.17+254557.0|56334-5975-0862|11.54087|0.09867| 16202|  112|8.469|0.015|11.51772| 0.19988|
SDSS J121911.27+655813.8|56720-6975-0900| 4.45275|0.12378| 17607|  129|7.913|0.024| 4.18252| 0.09075|
SDSS J121943.14+683631.6|56748-6966-0823| 3.38323|0.15187| 18943|  234|7.947|0.039| 2.90114| 0.10576|
SDSS J122015.07+134911.9|56003-5395-0975| 4.70495|0.17818| 16250|  170|7.831|0.033| 4.20820| 0.12677|
SDSS J122040.02+393053.5|57458-8834-0690| 4.17996|0.27856| 11232|  142|8.254|0.055| 4.47712| 0.23657|
SDSS J122049.57+120445.9|55956-5399-0643| 3.28615|0.26453| 19197|  115|7.949|0.019| 3.33304| 0.06003|
SDSS J122056.89+153354.6|56011-5398-0648| 5.89316|0.13387| 19602|  126|7.978|0.020| 5.42457| 0.10449|
SDSS J122111.37+112408.0|55956-5399-0352| 0.39817|0.28461| 52235|  976|7.685|0.072| 1.03246| 0.07130|models with C/N/O
SDSS J122153.99+545048.6|56413-6833-0373| 1.29394|0.16942| 44033|  882|7.651|0.088| 1.29391| 0.10599|
SDSS J122218.54+584722.3|56443-6968-0445| 1.15609|0.12258| 67862| 2628|7.138|0.117| 0.72203| 0.09096|
SDSS J122220.88+395553.9|57458-8834-0766| 2.16248|0.30214| 12161|  180|7.626|0.074| 2.93294| 0.16082|
SDSS J122221.93+171539.4|56034-5852-0492| 3.23266|0.18549| 24287|  366|7.960|0.051| 3.08815| 0.15129|
SDSS J122244.07+280328.6|56356-5976-0650| 3.96287|0.14987| 22900|  226|7.909|0.031| 3.40226| 0.10203|
SDSS J122249.42+160446.7|56011-5398-0760| 1.87220|0.33191| 24648|  437|7.891|0.061| 1.65555| 0.09631|
SDSS J122258.73+094711.3|55947-5396-0970| 3.87569|0.28383| 22357|  162|7.978|0.022| 3.44034| 0.07384|
SDSS J122302.34+313842.0|56365-6477-0854| 2.33455|0.13870| 31235|  139|7.819|0.031| 2.54717| 0.06816|
SDSS J122303.62+103839.6|55956-5399-0248| 1.69571|0.24461| 35122|  202|7.853|0.037| 1.63049| 0.05143|
SDSS J122304.63+360234.0|55302-3965-0402| 9.44705|0.26707| 17881|  281|8.806|0.040| 7.46910| 0.35353|
SDSS J122333.92+220820.6|56074-5982-0522| 6.93372|0.12656| 16651|   96|7.976|0.018| 6.83578| 0.11481|
SDSS J122336.91+532829.8|56419-6681-0691| 2.07199|0.22455| 28055|  326|7.956|0.055| 1.84596| 0.09276|
SDSS J122338.08+102547.0|55947-5396-0948| 2.14100|0.35046| 16172|  241|7.818|0.046| 2.21475| 0.09292|
SDSS J122354.21+205431.8|56042-5850-0741| 5.31256|0.15224| 19876|  204|8.018|0.032| 4.55934| 0.13876|
SDSS J122403.55+233003.0|56329-5979-0234| 1.59157|0.32765| 21247|  297|7.501|0.043| 1.57403| 0.06773|
SDSS J122452.25+435531.7|56370-6637-0032| 3.77197|0.17416| 16307|  182|7.978|0.033| 3.87061| 0.11995|
SDSS J122558.58+473245.7|56385-6640-0949| 3.64645|0.10067| 31693|  117|7.748|0.026| 3.69866| 0.08419|
SDSS J122600.54+170242.1|56034-5852-0374| 6.29418|0.10380| 15173|  114|7.959|0.020| 6.24122| 0.12015|
SDSS J122638.83+175201.4|56034-5852-0694| 4.00894|0.17295| 21088|  189|7.901|0.027| 3.88433| 0.09966|
SDSS J122650.16+360426.5|55302-3965-0204| 1.43081|0.32971| 30337|  240|7.832|0.050| 1.75481| 0.07543|
SDSS J122650.35+421258.2|55705-4705-0420| 7.91147|0.10625| 14346|  149|7.998|0.019| 7.80955| 0.16542|
SDSS J122657.30+372634.5|55302-3965-0770| 4.05442|0.11954| 17560|  141|7.691|0.026| 4.32301| 0.10292|
SDSS J122717.39+563825.6|56413-6833-0872| 3.89546|0.17267| 16516|  187|7.990|0.035| 3.64373| 0.11819|
SDSS J122723.00+083652.3|55927-5402-0554| 8.61258|0.07545| 15664|   84|8.007|0.015| 8.83865| 0.12781|
SDSS J122748.79+195548.3|56042-5850-0963| 3.74633|0.21280| 18739|  215|7.886|0.037| 3.25582| 0.11125|
SDSS J122833.29+583122.5|56443-6968-0242| 2.09962|0.26019| 20436|  394|8.188|0.059| 2.38358| 0.13409|
SDSS J122852.38+341213.6|55571-3966-0182| 2.16596|0.22659| 21149|  303|7.453|0.044| 1.92310| 0.08564|
SDSS J122903.69+231844.2|56329-5979-0014| 1.84119|0.43439| 29386|  353|7.800|0.066| 1.23335| 0.07322|
SDSS J123001.23+025557.6|55674-4753-0418| 5.00667|0.13869| 19434|  131|7.917|0.021| 4.84806| 0.09719|
SDSS J123004.20+085616.5|55927-5402-0706| 3.42456|0.34190| 16669|  244|7.999|0.045| 2.47412| 0.10325|
